hlindeza;7355000.00;384;173;185;26;4680000.00;-600000.00;21669158.50;14345158.50
player2;125000.50;56;28;32;4;50000.00;-10000.00;125000.00;75000.00
player3;523000.00;87;45;51;9;300000.00;-23000.00;750000.00;520000.00
player4;876000.75;143;72;78;12;400000.00;-50000.00;890000.00;450000.00
player5;10000.00;12;6;8;2;5000.00;0.00;15000.00;10000.00
player6;1500000.00;200;100;105;18;700000.00;-70000.00;2000000.00;1300000.00
player7;750000.25;98;48;53;11;450000.00;-30000.00;800000.00;550000.00
player8;625000.00;123;61;64;15;500000.00;-25000.00;725000.00;600000.00
player9;42000.00;34;18;20;3;15000.00;-2000.00;50000.00;38000.00
player10;3100000.00;250;125;130;25;2000000.00;-150000.00;4000000.00;2850000.00
